Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
43*,106,74,1,1,58.10,4,not out,1,v New Zealand,Auckland,14 Mar 2009,https://stats.espncricinfo.com/ci/engine/match/366625.html
4,9,12,0,0,33.33,3,caught,1,v West Indies,Kingston,26 Jun 2009,https://stats.espncricinfo.com/ci/engine/match/377313.html
0,7,2,0,0,0.00,3,caught,1,v West Indies,Kingston,28 Jun 2009,https://stats.espncricinfo.com/ci/engine/match/377314.html
11,19,9,0,0,122.22,5,caught,2,v West Indies,Gros Islet,3 Jul 2009,https://stats.espncricinfo.com/ci/engine/match/377315.html
TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet,5 Jul 2009,https://stats.espncricinfo.com/ci/engine/match/377316.html
48,-,61,3,0,78.68,4,caught,2,v South Africa,Ahmedabad,27 Feb 2010,https://stats.espncricinfo.com/ci/engine/match/441829.html
114,135,119,6,4,95.79,4,caught,1,v Zimbabwe,Bulawayo,28 May 2010,https://stats.espncricinfo.com/ci/engine/match/452146.html
101*,126,100,6,2,101.00,4,not out,2,v Sri Lanka,Bulawayo,30 May 2010,https://stats.espncricinfo.com/ci/engine/match/452147.html
13,34,25,0,0,52.00,4,run out,1,v Zimbabwe,Harare,3 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/452149.html
32,43,40,1,0,80.00,5,bowled,1,v Sri Lanka,Harare,5 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/452150.html
0,1,1,0,0,0.00,4,lbw,2,v Bangladesh,Dambulla,16 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/455232.html
22,20,24,2,0,91.66,5,lbw,2,v Pakistan,Dambulla,19 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/455234.html
69,118,73,7,0,94.52,4,run out,1,v Sri Lanka,Dambulla,22 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/455236.html
41,80,52,3,0,78.84,5,caught,1,v Sri Lanka,Dambulla,24 Jun 2010,https://stats.espncricinfo.com/ci/engine/match/455237.html
4,13,11,0,0,36.36,3,caught,2,v New Zealand,Dambulla,10 Aug 2010,https://stats.espncricinfo.com/ci/engine/match/456662.html
0,3,2,0,0,0.00,4,lbw,2,v Sri Lanka,Dambulla,16 Aug 2010,https://stats.espncricinfo.com/ci/engine/match/456663.html
11,-,21,2,0,52.38,3,lbw,1,v Sri Lanka,Dambulla,22 Aug 2010,https://stats.espncricinfo.com/ci/engine/match/456666.html
5,16,9,0,0,55.55,7,stumped,2,v Sri Lanka,Dambulla,28 Aug 2010,https://stats.espncricinfo.com/ci/engine/match/456668.html
44,56,48,4,1,91.66,5,caught,2,v New Zealand,Bengaluru,7 Dec 2010,https://stats.espncricinfo.com/ci/engine/match/467886.html
DNB,-,-,-,-,-,-,-,2,v New Zealand,Chennai,10 Dec 2010,https://stats.espncricinfo.com/ci/engine/match/467887.html
11,28,27,1,0,40.74,4,caught,2,v South Africa,Durban,12 Jan 2011,https://stats.espncricinfo.com/ci/engine/match/463150.html
9,29,14,1,0,64.28,7,lbw,1,v South Africa,Johannesburg,15 Jan 2011,https://stats.espncricinfo.com/ci/engine/match/463151.html
23,67,45,2,0,51.11,1,bowled,2,v South Africa,Cape Town,18 Jan 2011,https://stats.espncricinfo.com/ci/engine/match/463152.html
1,6,6,0,0,16.66,1,caught,2,v South Africa,Gqeberha,21 Jan 2011,https://stats.espncricinfo.com/ci/engine/match/463153.html
5,15,8,1,0,62.50,2,bowled,2,v South Africa,Centurion,23 Jan 2011,https://stats.espncricinfo.com/ci/engine/match/463154.html
68*,131,75,3,1,90.66,5,not out,2,v West Indies,Port of Spain,6 Jun 2011,https://stats.espncricinfo.com/ci/engine/match/489221.html
7*,8,14,1,0,50.00,5,not out,2,v West Indies,Port of Spain,8 Jun 2011,https://stats.espncricinfo.com/ci/engine/match/489222.html
86*,137,91,5,2,94.50,5,not out,2,v West Indies,North Sound,11 Jun 2011,https://stats.espncricinfo.com/ci/engine/match/489223.html
39,60,47,0,1,82.97,5,caught,2,v West Indies,North Sound,13 Jun 2011,https://stats.espncricinfo.com/ci/engine/match/489224.html
57,105,72,2,1,79.16,5,bowled,1,v West Indies,Kingston,16 Jun 2011,https://stats.espncricinfo.com/ci/engine/match/489225.html
0*,1,1,0,0,0.00,5,retired notout,1,v England,Chester-le-Street,3 Sep 2011,https://stats.espncricinfo.com/ci/engine/match/474477.html
72,185,99,3,1,72.72,5,bowled,2,v West Indies,Cuttack,29 Nov 2011,https://stats.espncricinfo.com/ci/engine/match/536929.html
90*,131,98,7,2,91.83,5,not out,2,v West Indies,Visakhapatnam,2 Dec 2011,https://stats.espncricinfo.com/ci/engine/match/536930.html
95,151,100,10,1,95.00,5,run out,2,v West Indies,Ahmedabad,5 Dec 2011,https://stats.espncricinfo.com/ci/engine/match/536931.html
